SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
55,DRN-0532/91,Dolgit,200,mg,Tablets,500' ,Ibuprofen,,,,11.970,"Dolorgiet GmbH & Co. KG, Germany."
56,DRN-0533/91,Dolgit,400,mg,Tablets,20' ,Ibuprofen,,,,0.820,"Dolorgiet GmbH & Co. KG, Germany."
57,DRN-0534/91,Dolgit,400,mg,Tablets,500' ,Ibuprofen,,,,12.980,"Dolorgiet GmbH & Co. KG, Germany."
58,DRN-0536/91,Enelfa,125,mg,Suppositories,10' ,Paracetamol,,,,0.620,"Dolorgiet GmbH & Co. KG, Germany."
59,DRN-0537/91,Enelfa,250,mg,Suppositories,10' ,Paracetamol,,,,0.700,"Dolorgiet GmbH & Co. KG, Germany."
60,DRN-0538/91,Enelfa,500,mg,Suppositories,10' ,Paracetamol,,,,0.830,"Dolorgiet GmbH & Co. KG, Germany."
61,DRN-0616/91,Claritine,10,mg,Tablets,30' s,Loratadine,,,,4.870,"Bayer Consumer Care AG, Switzerland."
62,DRN-0618/91,Allerfin,4,mg,Tablets,30' ,Chlorpheniramine Maleate,,,,0.670,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
63,DRN-0660/91,Flukit,,,Syrup,60ml,Ascorbic Acid,Chlorpheniramine Maleate,Paracetamol,Pseudoephedrine Hydrochloride,0.650,"Gulf Pharmaceutical Industries (Julphar), UAE."
64,DRN-0679/91,Penamox,500,mg,Capsules,20' ,Amoxicillin,,,,3.040,"Hikma Pharmaceuticals Co. Ltd, Jordan."
65,DRN-0693/91,Periactin,4,mg,Tablets,20' ,Cyproheptadine,,,,0.640,"Algorithm SAL, Lebanon."
66,DRN-0770/91,Cataflam,50,mg,Sugar Coated Tablets,20' ,Diclofenac Potassium,,,,3.120,"Novartis Pharma AG, Switzerland."
67,DRN-0879/91,Rocephin,1,g,Injection,1 Vial + 1 Ampoule Solvent,Ceftriaxone Sodium,,,,6.710,"Roche Pharma (Schweiz) AG, Switzerland."
68,DRN-0880/91,Rocephin,1,g,Injection,1 Vial + 1 Ampoule Solvent,Ceftriaxone Sodium,,,,6.710,"Roche Pharma (Schweiz) AG, Switzerland."
69,DRN-0896/91,Claforan,1,g,Powder For Injection,1 Vial + 1 Ampoule Solvent,Cefotaxime Sodium,,,,3.060,"Sanofi Saglık runleri Ltd. Sti., Turkey."
70,DRN-0904/91,Eucarbon,,,Tablets,30' ,Activated Charcoal,Sennae Folium,Rhei Radix (Extract),Sulfar ,1.530,"F. Trenka Chemisch-Pharmazeutische Fabrik GmbH, Austria."
71,DRN-0915/91,Cefizox,1000,mg,Injection,1 Vial,Ceftizoxime Sodium,,,,5.920,"Hikma Pharmaceuticals Co. Ltd, Jordan."
72,DRN-0923/91,Ciprobay,200,mg/100mL,Infusion Solution,5 x 100ml Vial,Ciprofloxacin,,,,53.120,"Bayer Pharma AG, Germany."
73,DRN-0940/91,Inhibace,5,mg,Film Coated Tablets,28 film coated,Cilazapril,,,,6.660,"F. Hoffmann La Roche Ltd, Switzerland."
74,DRN-0941/91,Noroxin,400,mg,Tablets,14' ,Norfloxacin,,,,2.330,"Algorithm SAL, Lebanon."
75,DRN-0955/91,Lincocin,500,mg,Capsules,12' ,Lincomycin HCl,,,,2.810,"Pfizer SA, Belgium."
76,DRN-0956/91,Dalacin-C,150,mg,Capsules,16' ,Clindamycin,,,,1.780,"Pfizer Holding France, France."
77,DRN-0957/91,Dalacin-C,75,mg/5mL,Granules for Oral Suspension,120ml,Clindamycin,,,,1.750,"Pharmacia & Upjohn Company, USA."
78,DRN-0958/91,Dalacin-C,150,mg/mL,Solution For Injection,2ml Vial,Clindamycin Phosphate,,,,1.430,"Pfizer SA, Belgium."
79,DRN-0960/91,Lincocin,300,mg/mL,Solution For Injection,1's (2ml),Lincomycin HCl,,,,1.190,"Pfizer SA, Belgium."
80,DRN-0975/91,Stablon,12.5,mg,Coated Tablets,30' ,Tianeptine Sodium,,,,4.900,"Les Laboratoires Servier, France."
81,DRN-0999/91,Migranerton,500/5,mg,Capsules,20' ,Paracetamol,Metoclopramide HCl,,,2.050,"Dolorgiet GmbH & Co. KG, Germany."
82,DRN-1008/91,Muscadol,35/450 ,mg,Tablets,20' ,Orphenadrine Citrate,Paracetamol,,,0.540,"Gulf Pharmaceutical Industries (Julphar), UAE."
83,DRN-1016/91,Cephadar,125,mg/5mL,Powder For Oral Susp,100ml,Cephalexin Monohydrate,,,,1.700,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
84,DRN-1017/91,Trimol,480,mg,Tablets,20's,Sulfamethoxazole,Trimethoprim,,,1.060,"Gulf Pharmaceutical Industries (Julphar), UAE."
85,DRN-1018/91,Trimol,240,mg,Oral Suspension,50ml,Sulfamethoxazole,Trimethoprim,,,0.710,"Gulf Pharmaceutical Industries (Julphar), UAE."
86,DRN-1019/91,Trimol,240,mg,Oral Suspension,100ml,Sulfamethoxazole,Trimethoprim,,,1.260,"Gulf Pharmaceutical Industries (Julphar), UAE."
87,DRN-1022/91,Midarine,100,mg/2mL,Solution for Injection,100 Ampoules,Suxamethonium ,,,,26.660,"The Wellcome Foundation Limited, UK."
88,DRN-1023/91,Tracrium,25,mg/2.5mL,Injectable Solution,5 Ampoules,Atracurium Besylate,,,,5.600,"The Wellcome Foundation Limited, UK."
89,DRN-1024/91,Tracrium,50,mg/5mL,Injectable Solution,5 Ampoules,Atracurium Besylate,,,,12.040,"The Wellcome Foundation Limited, UK."
90,DRN-1027/91,Septrin,400/80,mg,Tablets,20' ,Sulfamethoxazole,Trimethoprim,,,1.790,"Aspen Pharma Trading Limited, Ireland."
91,DRN-1028/91,Septrin,400/80,mg,Tablets,100' ,Sulfamethoxazole,Trimethoprim,,,8.960,"Aspen Pharma Trading Limited, Ireland."
92,DRN-1029/91,Septrin DS,960,mg,Tablets,10' ,Sulfamethoxazole,Trimethoprim,,,1.300,"Aspen Pharma Trading Limited, Ireland."
93,DRN-1031/91,Septrin Paediatric,200/40,mg/5mL,Oral Suspension,100ml,Sulfamethoxazole,Trimethoprim,,,1.870,"Aspen Pharma Trading Limited, Ireland."
94,DRN-1032/91,Septrin Paediatric,200/40,mg/5mL,Oral Suspension,50ml,Sulfamethoxazole,Trimethoprim,,,1.040,"Aspen Pharma Trading Limited, Ireland."
95,DRN-1036/91,Balkatrin Suspension,200/40,mg/5mL,Oral Suspension,100ml,Sulfamethoxazole,Trimethoprim,,,1.360,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
96,DRN-1041/91,Ibutop,5,%,Gel,50g,Ibuprofen,,,,1.780,"Dolorgiet GmbH & Co. KG, Germany."
97,DRN-1047/91,Orcinol,,,Syrup,120ml,Ammonium Chloride,Clobutinol HCl,Orciprenaline Sulfate,,0.970,"Gulf Pharmaceutical Industries (Julphar), UAE."
98,DRN-1048/91,Mucolyte,4,mg/5mL,Syrup,100ml,Bromhexine HCl,,,,0.830,"Gulf Pharmaceutical Industries (Julphar), UAE."
99,DRN-1049/91,Mucolyte,8,mg,Tablets,20' ,Bromhexine HCl,,,,0.800,"Gulf Pharmaceutical Industries (Julphar), UAE."
100,DRN-1050/91,Codaphed,,,Syrup,120ml,Chlorpheniramine Maleate,Codeine Phosphate,Ephedrine HCl,,0.850,"Gulf Pharmaceutical Industries (Julphar), UAE."
101,DRN-106/89,Diprivan,1,%,Emulsion For Inj. and Infusion,5x 20ml ampoules ,Propofol,,,,11.810,"AstraZeneca UK Limited, UK."
102,DRN-1064/91,Toplexil,0.33,mg/mL,Syrup,150ml,Oxomemazine,,,,1.130,"Sanofi-Aventis France, France."
103,DRN-1068/91,Broncholar,,,Syrup,100ml,Chlorpheniramine Maleate,Dextroamphetamine,Ephedrine HCl,Guaiphenesin,0.880,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
104,DRN-107/89,Tenormin,50,mg,Film Coated Tablets,28' ,Atenolol,,,,2.910,"AstraZeneca UK Limited, UK."
105,DRN-1070/91,Rhinathiol Children,2,%,Syrup,125ml,Carbocisteine,,,,0.760,"Sanofi-Aventis France, France."
106,DRN-1071/91,Rhinathiol Promethazine,,,Syrup,125ml,Promethazine HCl,S-Carboxy Methyl Cysteine,,,0.760,"Unither Liquid Manufacturing, France."
107,DRN-1076/91,Robitussin,,,Syrup,4 FL.0Z (118ml),Guaifenesin,,,,0.710,"Pfizer Inc, USA."
108,DRN-1084/91,Bisolvon,8,mg,Tablets,20' ,Bromhexine HCl,,,,1.120,"Boehringer Ingelheim International GmbH, Germany."
109,DRN-1087/91,Mucosolvan,30,mg,Tablets,20' ,Ambroxol HCl,,,,1.090,"Boehringer Ingelheim International GmbH, Germany."
110,DRN-109/89,Tenormin,100,mg,Coated Tablets,28' ,Atenolol,,,,4.580,"AstraZeneca UK Limited, UK."
111,DRN-110/89,ZANTAC,25,MG/ML,SOLUTION FOR INJECTION,5 X 2ML,RANITIDINE HCL,,,,2.440,"GLAXOWELLCOME UK LIMITED, UK."
112,DRN-111/89,Zantac,150,mg,Tablets,20' ,Ranitidine HCl,,,,1.230,"GlaxoWellcome UK Limited, UK."
113,DRN-1114/91,Suprax,400,mg,Capsules,6' ,Cefixime,,,,8.100,"Hikma Pharmaceuticals Co. Ltd, Jordan."
114,DRN-1115/91,Suprax,100,mg/5mL,Suspension,60ml,Cefixime,,,,4.420,"Hikma Pharmaceuticals Co. Ltd, Jordan."
115,DRN-112/89,Zantac,150,mg,Tablets,60' ,Ranitidine HCl,,,,3.680,"GlaxoWellcome UK Limited, UK."
116,DRN-1121/91,Soolan,1/50/2.5,mg/5mL,Syrup,100ml,Chlorpheniramine Maleate,Glyceryl Guaiacolate (Guaifenesin) ,Phenylephrine Hydrochloride ,,0.610,"Gulf Pharmaceutical Industries (Julphar), UAE."
117,DRN-1122/91,Amydramin Expectorant,13.5/131.5/57/1,mg/5mL,Syrup,120ml,Diphenhydramine HCl,Ammonium Chloride,Sodium Citrate,Menthol,0.590,"Gulf Pharmaceutical Industries (Julphar), UAE."
118,DRN-1141/91,Atrovent N,20,mcg/Puff,Metered dose inhaler,10ml (200 Doses),Ipratropium Bromide,,,,4.470,"Boehringer Ingelheim International GmbH, Germany."
119,DRN-115/89,Marvelon,0.150/0.030,mg,Tablet,21' ,Desogestrel ,Ethinylestradiol,,,1.410,"N.V. Organon, The Netherlands."
120,DRN-1154/92,Cefrin,250,mg,Capsules,20' ,Cephalexin Monohydrate,,,,3.100,"Gulf Pharmaceutical Industries (Julphar), UAE."
121,DRN-1155/92,Cefrin,500,mg,Capsules,20' ,Cephalexin Monohydrate,,,,5.080,"Gulf Pharmaceutical Industries (Julphar), UAE."
122,DRN-1156/92,Prostin E2,1,mg/mL,Sterile Solution For Infusion,0.75ml Ampoules,Dinoprostone,,,,5.000,"Pfizer SA, Belgium."
123,DRN-1157/92,Prostin E2,10,mg/mL,Sterile Solution For Infusion,0.5ml Ampoule,Dinoprostone,,,,12.080,"Pfizer SA, Belgium."
124,DRN-1158/92,Prostin E2,10,mg/mL,Sterile Solution For Infusion,0.5ml Ampoule + 50ml Solvent,Dinoprostone,,,,25.100,"Pfizer SA, Belgium."
125,DRN-1159/92,Zovirax,400,mg,Tablets,25's,Acyclovir,,,,'13.490,"GlaxoSmithKline AS, Norway."
126,DRN-1160/92,Actifed,60,mg,Tablets,24' ,Pseudoephedrine HCl,Triprolidine HCl,,,0.760,"GlaxoSmithKline SA/NV, Belgium."
127,DRN-1161/92,Actifed,30,mg,Syrup,100ml,Pseudoephedrine HCl,Triprolidine HCl,,,0.620,"GlaxoSmithKline SA/NV, Belgium."
128,DRN-1162/92,Actifed DM,10,mg,Oral Solution,100ml,Dextromethorphan Hydrobromide,Pseudoephedrine HCl,Triprolidine HCl,,0.890,"GlaxoSmithKline SA/NV, Belgium."
129,DRN-1163/92,Actifed Expectorant,100,mg,Oral Solution,100ml,Guaifenesin,Pseudoephedrine HCl,Triprolidine HCl,,0.650,"GlaxoSmithKline SA/NV, Belgium."
130,DRN-1167/92,Losec,20,mg,Capsules,14' ,Omeprazole,,,,8.980,"AstraZeneca UK Limited, UK."
131,DRN-1168/92,Gynera,0.03/0.075,mg,Coated Tablets,21' ,Ethinylestradiol ,Gestodene,,,2.020,"Bayer Pharma AG, Germany."
132,DRN-118/89,Zinacef,750,mg,Injection,5 Vial,Cefuroxime Sodium,,,,8.050,"GlaxoSmithKline Manufacturing SpA (Verona), Italy."
133,DRN-1180/92,Sinecod,1.5,mg/mL,Syrup,200ml,Butamirate Citrate,,,,2.400,"Novartis Consumer Health SA, Switzerland."
134,DRN-1181/92,Sinecod,5,mg/mL,Drops,20ml,Butamirate Citrate,,,,1.550,"Novartis Consumer Health SA, Switzerland."
135,DRN-1203/92,Ventolin,2,mg/5mL,Syrup,150ml,Salbutamol Sulfate,,,,1.130,"GlaxoWellcome UK Limited, UK"
136,DRN-1204/92,Ventolin,5,mg/mL,Inhalant Solution,20ml,Salbutamol Sulfate,,,,1.530,"GlaxoWellcome UK Limited, UK."
137,DRN-1218/92,Ultramox,500,mg,Capsules,2 x 10's,Amoxicillin,,,,2.740,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
138,DRN-122/89,Zinnat,250,mg,Tablets,10' ,Cefuroxime Axetil,,,,5.300,"GlaxoWellcome UK Limited, UK."
139,DRN-1232/92,Butalin,2,mg,Tablets,20' ,Salbutamol Sulfate,,,,0.510,"Gulf Pharmaceutical Industries (Julphar), UAE."
140,DRN-1233/92,Butalin,4,mg,Tablets,20' ,Salbutamol Sulfate,,,,0.790,"Gulf Pharmaceutical Industries (Julphar), UAE."
141,DRN-1235/92,Primalan,2.5,mg/mL,Syrup,60ml,Mequitazine,,,,1.330,"Pierre Fabre Medicament Laboratories, France."
142,DRN-1236/92,Dolgit,5,%,Cream,20g,Ibuprofen,,,,0.750,"Dolorgiet GmbH & Co. KG, Germany."
143,DRN-1237/92,Ibutop,5,%,Gel,20g,Ibuprofen,,,,0.750,"Dolorgiet GmbH & Co. KG, Germany."
144,DRN-124/89,Zinnat,500,mg,Tablets,10' ,Cefuroxime Axetil,,,,8.780,"GlaxoWellcome UK Limited, UK."
145,DRN-1240/92,Cephadar Forte,250,mg/5mL,Suspension,100ml,Cephalexin Monohydrate,,,,2.420,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
146,DRN-1241/92,Melrosum Syrup S,15,g/100mL ,Syrup,100ml,Thyme Fluid-Extract,,,,1.040,"A. Nattermann & Cie GmbH, Germany."
147,DRN-1247/92,Daktacort,,,Cream,15g,Miconazole Nitrate,Hydrocortisone Acetate,,,1.180,"Janssen-Cilag NV, Belgium."
148,DRN-1248/92,Daktarin,20,mg,Cream,30g,Miconazole Nitrate,,,,1.560,"Janssen-Cilag NV, Belgium."
149,DRN-1251/92,Daktarin,2,%,Gel,40g,Miconazole Nitrate,,,,1.620,"Janssen Pharmaceutica NV, Belgium."
150,DRN-1253/92,Gyno-Daktarin,20,mg/g,vaginal cream,78g,Miconazole Nitrate,,,,3.820,"Janssen-Cilag NV, Belgium."
151,DRN-1254/92,Gyno-Daktarin,200,mg,Vaginal Capsules,7's,Miconazole Nitrate,,,,3.050,"Janssen-Cilag NV, Belgium."
152,DRN-1255/92,Gyno-Daktarin,400,mg,Vaginal Capsules,3's ,Miconazole Nitrate,,,,2.130,"Janssen-Cilag NV, Belgium."
153,DRN-1258/92,Bronchicum Elixir S,2.5/5 ,g/100g,Liquid  ,100ml,Primula Root Liquid Extract ,Thyme Fluid Extract,,,1.190,"A. Nattermann & Cie GmbH, Germany."
154,DRN-1263/92,Lotriderm,,,Cream,15g,Betamethasone Dipropionate,Clotrimazole,,,1.110,"MSD Belgium BVBA/SPRL, Belgium."
155,DRN-1264/92,Lotriderm,,,Cream,30g,Betamethasone Dipropionate,Clotrimazole,,,1.780,"MSD Belgium BVBA/SPRL, Belgium."
156,DRN-1278/92,Mikozal,,,Cream,30g,Miconazole Nitrate,,,,1.250,"Gulf Pharmaceutical Industries (Julphar), UAE."
157,DRN-1292/92,Zaditen,1,mg/5mL,Syrup,100ml,Ketotifen Fumarate,,,,2.910,"Novartis Pharma AG, Switzerland."
158,DRN-1294/92,Bactrim,,,Syrup,100ml,Sulfamethoxazole,Trimethoprim,,,1.680,"F. Hoffmann La Roche Ltd, Switzerland."
159,DRN-1295/92,Bactrim,400/80,mg,Tablets,20' ,Sulfamethoxazole,Trimethoprim,,,2.280,"Roche Pharma (Schweiz) AG, Switzerland."
160,DRN-1296/92,Bactrim,800/160,mg,Film Coated Tablets,10' s,Sulfamethoxazole,Trimethoprim,,,2.290,"Roche Pharma (Schweiz) AG, Switzerland."
161,DRN-1307/92,Canesten,0.1,g,Vaginal Tablets,6' ,Clotrimazole,,,,1.770,"Bayer Consumer Care AG, Switzerland."
162,DRN-1309/92,Canesten,1,%,Cream,20g,Clotrimazole,,,,1.590,"Bayer Consumer Care AG, Switzerland."
163,DRN-1311/92,Canesten,1,%,Solution For External,20ml,Clotrimazole,,,,1.590,"Bayer Consumer Care AG, Switzerland."
164,DRN-1318/92,Broncho-Vaxom,20,mg (3.5mg),Capsules,30' ,Standarized Lyophilized Bacterial Lysates,,,,7.880,"Om Pharma SA, Switzerland."
165,DRN-1320/92,Broncho-Vaxom,40,mg (7mg),Capsules,30' ,Standarized Lyophilized Bacterial Lysates,,,,11.680,"Om Pharma SA, Switzerland."
166,DRN-1325/92,Dermovate,0.05,% w/w,Cream,25g,Clobetasol Propionate,,,,0.930,"GlaxoWellcome UK Limited, UK."
167,DRN-1326/92,Dermovate,0.05,% w/w,Ointment,25g,Clobetasol Propionate,,,,0.930,"GlaxoWellcome UK Limited, UK."
168,DRN-1347/92,Eurax,10,%,Cream,20g,Crotamiton,,,,0.980,"Novartis Consumer Health SA, Switzerland."
169,DRN-1349/92,Eurax,10,%,Lotion,50ml,Crotamiton,,,,1.530,"Novartis Consumer Health SA, Switzerland."
170,DRN-1359/92,Diprolene,0.05,%,Ointment,30g,Betamethasone Dipropionate,,,,2.070,"MSD Belgium BVBA/SPRL, Belgium."
171,DRN-1368/92,Survanta,25,mg/mL,Intratracheal Suspension, 8ml Single Dose Vial,Phospholipids,,,,180.960,"Abbvie Inc, USA."
172,DRN-1369/92,Betaderm,0.1,%,Cream,20g,Betamethasone,,,,0.760,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
173,DRN-1373/92,Depo-Provera ,150,mg/mL,Suspension for injection,1's,Medroxyprogesterone Acetate,,,,1.250,"Pfizer SA, Belgium."
174,DRN-1374/92,Sporanox,100,mg,Capsules,4' ,Itraconazole,,,,3.310,"Janssen Pharmaceutica NV, Belgium."
175,DRN-1375/92,Sporanox,100,mg,Capsules,15' ,Itraconazole,,,,10.820,"Janssen Pharmaceutica NV, Belgium."
176,DRN-1387/92,Livial,2.5,mg,Tablets,28' ,Tibolone,,,,8.240,"N.V. Organon, The Netherlands."
177,DRN-1390/92,Daivonex,50,mcg/g,Ointment,30g,Calcipotriol,,,,4.480,"LEO Pharma A/S, Denmark."
178,DRN-1391/92,Betnovate,0.1,% w/w,Ointment,30g,Betamethasone Valerate,,,,0.990,"GlaxoWellcome UK Limited, UK."
179,DRN-1403/92,Diprosone,0.05,%,Ointment,30g,Betamethasone Dipropionate,,,,1.760,"MSD Belgium BVBA/SPRL, Belgium."
180,DRN-1405/92,Diprosone,,,Cream,30g,Betamethasone Dipropionate,,,,2.020,"MSD Belgium BVBA/SPRL, Belgium."
